2020-10-14 23:29:56|1605414790.288|Power|System Power On|1
2020-10-14 23:29:58|1605414790.288|Motor2|Motor 2 Position Change|1
2020-10-14 23:29:59|1605414790.288|Motor2|Motor 2 Position Change|2
2020-10-14 23:29:59|1605414790.288|Motor2|Motor 2 Position Change|3
2020-10-14 23:29:59|1605414790.288|Motor2|Motor 2 Position Change|4
2020-10-14 23:29:59|1605414790.288|Motor2|Motor 2 Position Change|5
2020-10-14 23:30:00|1605414790.288|Motor2|Motor 2 Position Change|6
2020-10-14 23:30:00|1605414790.288|Motor2|Motor 2 Position Change|7
2020-10-14 23:30:00|1605414790.288|Motor2|Motor 2 Position Change|8
2020-10-14 23:30:02|1605414790.288|Motor2|Motor 2 Position Change|7
2020-10-14 23:30:02|1605414790.288|Motor2|Motor 2 Position Change|6
2020-10-14 23:30:03|1605414790.288|Motor2|Motor 2 Position Change|5
2020-10-14 23:30:03|1605414790.288|Motor2|Motor 2 Position Change|4
2020-10-14 23:30:03|1605414790.288|Motor2|Motor 2 Position Change|3
2020-10-14 23:30:03|1605414790.288|Motor2|Motor 2 Position Change|2
2020-10-14 23:30:03|1605414790.288|Motor2|Motor 2 Position Change|1
2020-10-14 23:30:03|1605414790.288|Motor2|Motor 2 Position Change|0
2020-10-14 23:30:04|1605414790.288|Motor2|Motor 2 Position Change|-1
2020-10-14 23:30:04|1605414790.288|Motor2|Motor 2 Position Change|-2
2020-10-14 23:30:04|1605414790.288|Motor2|Motor 2 Position Change|-3
2020-10-14 23:30:04|1605414790.288|Motor2|Motor 2 Position Change|-4
2020-10-14 23:30:04|1605414790.288|Motor2|Motor 2 Position Change|-5
2020-10-14 23:30:05|1605414790.288|Motor2|Motor 2 Position Change|-6
2020-10-14 23:30:05|1605414790.288|Motor2|Motor 2 Position Change|-7
